algorithm,operation,mean_us,key_or_ct_bytes,sig_or_ss_bytes,cache_misses,cache_refs,cache_miss_pct,branch_misses,branch_instr,branch_miss_pct,instructions,cycles,ipc,context_switches,cpu_migrations,page_faults,network_packets_required,mtu_overhead_pct
ECDSA-P256,Sign,847.86,91,71,0,0,0,0,0,0,0,0,0,0,0,0,1,2012.68
ECDSA-P256,Verify,225.694,91,71,0,0,0,0,0,0,0,0,0,0,0,0,1,2012.68
Ed25519,Sign,119.498,32,64,0,0,0,0,0,0,0,0,0,0,0,0,1,2243.75
Ed25519,Verify,193.385,32,64,0,0,0,0,0,0,0,0,0,0,0,0,1,2243.75
ML-DSA-44,Sign,142.662,1312,2420,0,0,0,0,0,0,0,0,0,0,0,0,2,23.9669
ML-DSA-44,Verify,46.5811,1312,2420,0,0,0,0,0,0,0,0,0,0,0,0,2,23.9669
ML-DSA-65,Sign,189.544,1952,3309,0,0,0,0,0,0,0,0,0,0,0,0,3,35.9927
ML-DSA-65,Verify,55.4364,1952,3309,0,0,0,0,0,0,0,0,0,0,0,0,3,35.9927
ML-DSA-87,Sign,185.18,2592,4627,0,0,0,0,0,0,0,0,0,0,0,0,4,29.6737
ML-DSA-87,Verify,126.841,2592,4627,0,0,0,0,0,0,0,0,0,0,0,0,4,29.6737
Falcon-512,Sign,292.281,897,656,0,0,0,0,0,0,0,0,0,0,0,0,1,128.659
Falcon-512,Verify,44.2249,897,656,0,0,0,0,0,0,0,0,0,0,0,0,1,128.659
Falcon-1024,Sign,639.428,1793,1273,0,0,0,0,0,0,0,0,0,0,0,0,1,17.8319
Falcon-1024,Verify,85.8468,1793,1273,0,0,0,0,0,0,0,0,0,0,0,0,1,17.8319
SPHINCS+-128s,Sign,231922,32,7856,0,0,0,0,0,0,0,0,0,0,0,0,6,14.5621
SPHINCS+-128s,Verify,291.801,32,7856,0,0,0,0,0,0,0,0,0,0,0,0,6,14.5621
SPHINCS+-256s,Sign,354367,64,29792,0,0,0,0,0,0,0,0,0,0,0,0,21,5.73308
SPHINCS+-256s,Verify,666.297,64,29792,0,0,0,0,0,0,0,0,0,0,0,0,21,5.73308
